"Diametro
Exterior
Espira";"Pasos
Espiras";"Espesor
Chapa";"Longitud
Entre
Testeros";"TIPO
MOTORREDUCTOR";POSICION MOTOREDUCTOR;GIRO
10;10;1;1500;COAXIAL;B3;DERECHAS
15;15;1,5;1550;ORTOGONAL;B6;IZQUIERDAS
20;20;2;1600;PENDULAR;B7;
25;25;2,5;1650;;B8;
30;30;3;1700;;V5;
35;35;4;1750;;V6;
40;40;5;1800;;;
45;45;6;1850;;;
50;50;8;1900;;;
55;55;10;1950;;;
60;60;12;2000;;;
65;65;14;2050;;;
70;70;15;2100;;;
75;75;16;2150;;;
80;80;18;2200;;;
85;85;20;2250;;;
90;90;25;2300;;;
95;95;30;2350;;;
100;100;35;2400;;;
105;105;40;2450;;;
110;110;;2500;;;
115;115;;2550;;;
120;120;;2600;;;
125;125;;2650;;;
130;130;;2700;;;
135;135;;2750;;;
140;140;;2800;;;
145;145;;2850;;;
150;150;;2900;;;
155;155;;2950;;;
160;160;;3000;;;
165;165;;3050;;;
170;170;;3100;;;
175;175;;3150;;;
180;180;;3200;;;
185;185;;3250;;;
190;190;;3300;;;
195;195;;3350;;;
200;200;;3400;;;
205;205;;3450;;;
210;210;;3500;;;
215;215;;3550;;;
220;220;;3600;;;
225;225;;3650;;;
230;230;;3700;;;
235;235;;3750;;;
240;240;;3800;;;
245;245;;3850;;;
250;250;;3900;;;
255;255;;3950;;;
260;260;;4000;;;
265;265;;4050;;;
270;270;;4100;;;
275;275;;4150;;;
280;280;;4200;;;
285;285;;4250;;;
290;290;;4300;;;
295;295;;4350;;;
300;300;;4400;;;
305;305;;4450;;;
310;310;;4500;;;
315;315;;4550;;;
320;320;;4600;;;
325;325;;4650;;;
330;330;;4700;;;
335;335;;4750;;;
340;340;;4800;;;
345;345;;4850;;;
350;350;;4900;;;
355;355;;4950;;;
360;360;;5000;;;
365;365;;5050;;;
370;370;;5100;;;
375;375;;5150;;;
380;380;;5200;;;
385;385;;5250;;;
390;390;;5300;;;
395;395;;5350;;;
400;400;;5400;;;
405;405;;5450;;;
410;410;;5500;;;
415;415;;5550;;;
420;420;;5600;;;
425;425;;5650;;;
430;430;;5700;;;
435;435;;5750;;;
440;440;;5800;;;
445;445;;5850;;;
450;450;;5900;;;
455;455;;5950;;;
460;460;;6000;;;
465;465;;6050;;;
470;470;;6100;;;
475;475;;6150;;;
480;480;;6200;;;
485;485;;6250;;;
490;490;;6300;;;
495;495;;6350;;;
500;500;;6400;;;
;;;6450;;;
;;;6500;;;
;;;6550;;;
;;;6600;;;
;;;6650;;;
;;;6700;;;
;;;6750;;;
;;;6800;;;
;;;6850;;;
;;;6900;;;
;;;6950;;;
;;;7000;;;
;;;7050;;;
;;;7100;;;
;;;7150;;;
;;;7200;;;
;;;7250;;;
;;;7300;;;
;;;7350;;;
;;;7400;;;
;;;7450;;;
;;;7500;;;
;;;7550;;;
;;;7600;;;
;;;7650;;;
;;;7700;;;
;;;7750;;;
;;;7800;;;
;;;7850;;;
;;;7900;;;
;;;7950;;;
;;;8000;;;
;;;8050;;;
;;;8100;;;
;;;8150;;;
;;;8200;;;
;;;8250;;;
;;;8300;;;
;;;8350;;;
;;;8400;;;
;;;8450;;;
;;;8500;;;
;;;8550;;;
;;;8600;;;
;;;8650;;;
;;;8700;;;
;;;8750;;;
;;;8800;;;
;;;8850;;;
;;;8900;;;
;;;8950;;;
;;;9000;;;
;;;9050;;;
;;;9100;;;
;;;9150;;;
;;;9200;;;
;;;9250;;;
;;;9300;;;
;;;9350;;;
;;;9400;;;
;;;9450;;;
;;;9500;;;
;;;9550;;;
;;;9600;;;
;;;9650;;;
;;;9700;;;
;;;9750;;;
;;;9800;;;
;;;9850;;;
;;;9900;;;
;;;9950;;;
;;;10000;;;
;;;10050;;;
;;;10100;;;
;;;10150;;;
;;;10200;;;
;;;10250;;;
;;;10300;;;
;;;10350;;;
;;;10400;;;
;;;10450;;;
;;;10500;;;
;;;10550;;;
;;;10600;;;
;;;10650;;;
;;;10700;;;
;;;10750;;;
;;;10800;;;
;;;10850;;;
;;;10900;;;
;;;10950;;;
;;;11000;;;
;;;11050;;;
;;;11100;;;
;;;11150;;;
;;;11200;;;
;;;11250;;;
;;;11300;;;
;;;11350;;;
;;;11400;;;
;;;11450;;;
;;;11500;;;
;;;11550;;;
;;;11600;;;
;;;11650;;;
;;;11700;;;
;;;11750;;;
;;;11800;;;
;;;11850;;;
;;;11900;;;
;;;11950;;;
;;;12000;;;
;;;12050;;;
;;;12100;;;
;;;12150;;;
;;;12200;;;
;;;12250;;;
;;;12300;;;
;;;12350;;;
;;;12400;;;
;;;12450;;;
;;;12500;;;
