D_exterior_mm;Espesor_mm;d_interior_mm;Plano Testeros
21,3;2;17,3;002A.002.0213-0173
21,3;2,3;16,7;002A.002.0213-0167
21,3;2,6;16,1;002A.002.0213-0161
21,3;3;15,3;002A.002.0213-0153
26,9;2;22,9;002A.002.0269-0229
26,9;2,3;22,3;002A.002.0269-0223
26,9;2,6;21,7;002A.002.0269-0217
26,9;3;20,9;002A.002.0269-0209
26,9;3,2;20,5;002A.002.0269-0205
33,7;2;29,7;002A.002.0337-0297
33,7;2,3;29,1;002A.002.0337-0291
33,7;2,6;28,5;002A.002.0337-0285
33,7;3;27,7;002A.002.0337-0277
33,7;3,2;27,3;002A.002.0337-0273
33,7;4;25,7;002A.002.0337-0257
42,4;2;38,4;002A.002.0424-0384
42,4;2,3;37,8;002A.002.0424-0378
42,4;2,6;37,2;002A.002.0424-0372
42,4;3;36,4;002A.002.0424-0364
42,4;3,2;36;002A.002.0424-0360
42,4;4;34,4;002A.002.0424-0344
48,3;2;44,3;002A.002.0483-0443
48,3;2,3;43,7;002A.002.0483-0437
48,3;2,6;43,1;002A.002.0483-0431
48,3;3;42,3;002A.002.0483-0423
48,3;3,2;41,9;002A.002.0483-0419
48,3;4;40,3;002A.002.0483-0403
48,3;5;38,3;002A.002.0483-0383
60,3;2,3;55,7;002A.002.0603-0557
60,3;2,6;55,1;002A.002.0603-0551
60,3;3;54,3;002A.002.0603-0543
60,3;3,2;53,9;002A.002.0603-0539
60,3;4;52,3;002A.002.0603-0523
60,3;5;50,3;002A.002.0603-0503
60,3;6,3;47,7;002A.002.0603-0477
76,1;2,6;70,9;002A.002.0761-0709
76,1;3;70,1;002A.002.0761-0701
76,1;3,2;69,7;002A.002.0761-0697
76,1;4;68,1;002A.002.0761-0681
76,1;5;66,1;002A.002.0761-0661
76,1;6,3;63,5;002A.002.0761-0635
88,9;3;82,9;002A.002.0889-0829
88,9;3,2;82,5;002A.002.0889-0825
88,9;4;80,9;002A.002.0889-0809
88,9;5;78,9;002A.002.0889-0789
88,9;6,3;76,3;002A.002.0889-0763
101,6;3;95,6;002A.002.1016-0956
101,6;3,2;95,2;002A.002.1016-0952
101,6;4;93,6;002A.002.1016-0936
101,6;5;91,6;002A.002.1016-0916
101,6;6,3;89;002A.002.1016-0890
114,3;3,2;107,9;002A.002.1143-1079
114,3;4;106,3;002A.002.1143-1063
114,3;5;104,3;002A.002.1143-1043
114,3;6,3;101,7;002A.002.1143-1017
127;4;119;002A.002.1270-1190
127;5;117;002A.002.1270-1170
127;6,3;114,4;002A.002.1270-1144
139,7;4;131,7;002A.002.1397-1317
139,7;5;129,7;002A.002.1397-1297
139,7;6,3;127,1;002A.002.1397-1271
159;4;151;002A.002.1590-1510
159;5;149;002A.002.1590-1490
159;6,3;146,4;002A.002.1590-1464
168,3;5;158,3;002A.002.1683-1583
168,3;6,3;155,7;002A.002.1683-1557
177,8;5;167,8;002A.002.1778-1678
177,8;6,3;165,2;002A.002.1778-1652
193,7;6,3;181,1;002A.002.1937-1811
219,1;6,3;206,5;002A.002.2191-2065
244,5;6,3;231,9;002A.002.2445-2319
273;6,3;260,4;002A.002.2730-2604
273;8;257;002A.002.2730-2570
323,9;8;307,9;002A.002.3239-3079
323,9;10;303,9;002A.002.3239-3039
355,6;8;339,6;002A.002.3556-3396
355,6;10;335,6;002A.002.3556-3356
406,4;8;390,4;002A.002.4064-3904
406,4;10;386,4;002A.002.4064-3864
457;10;437;002A.002.4570-4370
508;10;488;002A.002.5080-4880
